x,y,z
-140344393,88581868,-752682893,16676
-141257021,87703317,-752952302,14396
-142034460,86397307,-753439137,12876
-141823875,84728284,-754270379,12916
-140260261,84123039,-756118750,15272
-136589520,83951728,-757819816,14632
-132666481,84325881,-760090381,16896
-127944864,85812647,-762847063,12832
-124530388,88245580,-764539921,13904
-123015698,90058122,-765002180,15860
-122156007,92225565,-765245753,13132
-121973055,93703702,-764961056,12512
-122179570,100164831,-762792509,14068
-122254411,103327980,-761577081,13744
#!,zero-counter: 91
-122843576,103910468,-765594087,13756
-123628365,103973139,-764628833,13460
-123922527,103913249,-764071600,13812
-125505127,104577338,-762382945,15292
-126390340,104413741,-760873898,15812
-126904904,105051346,-758677974,16600
-126320469,105980010,-756292547,15492
-125395698,107046970,-753803058,14144
-124108701,108010546,-751584509,12496
-122826737,108681209,-750137053,11108
-121955692,108967736,-749359538,10820
-121575398,108947578,-749071588,10768
-122162505,108655276,-749100418,11304
-123890025,107938171,-749128328,11900
-126310220,106800062,-748944612,13012
-129173414,105200400,-748620813,12844
-132591189,102958927,-748422199,12488
-136559414,100281558,-748507345,11700
-140191607,97482588,-749266619,32767
-140857498,95666092,-750375255,14552
-141172363,95051043,-751042981,14100
-140726684,94079782,-751758669,12552
-137277761,97058063,-754402092,12152
-135010822,100112073,-756507579,11328
-134222658,102245257,-757598480,10524
-133020101,104281112,-758601537,12908
-130975523,106901358,-760273598,16820
-130611955,107784103,-760429938,14444
-128950686,109032363,-760900880,13624
-127973119,109341369,-761525770,13492
-128526829,108948752,-761613701,13672
-131026609,108311107,-760010517,12228
-135661892,107106891,-756464376,17000
-138672759,104668131,-754311676,12812
-141267879,103358991,-752248479,10012
-142406616,102823893,-752703013,13840
-143401723,103082508,-751997327,13112
-143601581,104041449,-751042050,13360
-143325697,105245252,-750322924,15124
-140973969,108454045,-750850117,15228
-138825089,112245295,-751946756,13176
-138878659,114718542,-752091524,17800
-137310238,115370623,-752940443,13560
-135364789,116021649,-753541509,13224
-136281868,116442587,-752480457,12680
-136875734,115880419,-751882672,13268
-138408001,115217387,-750598776,13444
-140132188,114620990,-749692942,12936
-143381332,113582406,-748534565,14168
-147054261,112327097,-747584392,14452
-150736093,109643514,-746084340,13624
-154486180,106512391,-744755833,11364
-154612611,104763142,-744331327,12632
-155284146,104971678,-743714938,13548
-156419511,105075606,-743242060,13336
-157149427,105253159,-742856225,13260
-157729655,105736881,-742462773,13188
-157824405,106788064,-742359261,12320
-158178649,107648120,-742407649,14300
-155719647,107376188,-744476299,13576
-155098413,106873206,-744835797,13628
#!,zero-counter: 45
-153758680,107929910,-748394599,13860
-154148361,108423659,-748081311,14528
-154327871,109186013,-747401324,16388
-153722439,110936478,-745604637,15952
-152473820,113343147,-743151370,14496
-151284069,116249393,-740653092,12644
-150640003,119103992,-738222418,11472
-150903311,121418453,-736083509,10672
-151894657,123118836,-734339457,10808
-153376388,124415104,-733126189,10824
-155225612,125482975,-732389672,10880
-157310005,126260083,-732090956,11060
-159411939,126936851,-732370945,11000
-161531083,127801556,-733382979,11984
-164101926,128726231,-734873760,13188
-166910796,129689559,-736553437,14300
-169854024,130490847,-738031132,15296
-172990273,130823684,-739233003,14676
-175637778,130237395,-740152244,12976
-175385330,129840690,-740151620,14204
-176464312,128846249,-739792315,14008
-177128045,127533316,-739273665,13084
-177812759,126164934,-739031434,13172
-178359698,125217837,-738849163,12656
-177941983,124143187,-739078928,13900
-177295777,123232285,-739289747,15016
-177032421,122473544,-739623675,14496
-175445733,121138736,-740652718,14764
